time_game,time_total,particles,ups
1.25,0.1921522617340088,1,143152.64805980542
1.875,0.22765302658081055,1,457.8423670197885
2.5,0.2863452434539795,1,325.4101282270451
3.125,0.307875394821167,1,881.2237307437281
3.75,0.33043551445007324,1,929.4900468018913
4.375,0.35728931427001953,1,750.5648000298382
5.0,0.3805806636810303,1,842.8530778538506
5.625,0.4040663242340088,1,857.0430361452787
6.25,0.4277076721191406,1,829.7422435673537
6.875,0.44986891746520996,1,895.916818715316
7.5,0.4728240966796875,1,885.0325464592528
8.125,0.49669456481933594,1,859.2601108392683
8.75,0.5196006298065186,1,840.7403256970363
9.375,0.5421102046966553,1,899.1886755336844
10.0,0.5646934509277344,1,868.1057805635309
10.625,0.5884642601013184,1,847.787402008581
11.25,0.6115820407867432,1,901.4368905193535
11.875,0.6354382038116455,1,813.8578174373338
12.5,0.659052848815918,1,854.5899405724782
13.125,0.6816670894622803,1,863.031431563542
13.75,0.7052907943725586,1,864.4618108052487
14.375,0.7274043560028076,1,876.212277969328
15.0,0.7498700618743896,1,893.9525939443781
15.625,0.7723729610443115,1,915.1847080590774
16.25,0.7952086925506592,1,891.4273967976213
16.875,0.8177978992462158,1,869.0600290629538
17.5,0.8393449783325195,1,909.3943160932705
18.125,0.8619458675384521,1,905.9845352130368
18.75,0.884690523147583,1,853.6991809027078
19.375,0.9067661762237549,1,929.7193963412288
20.0,0.9300568103790283,1,906.3217665102238
20.625,0.9520347118377686,1,850.9849598118697
21.25,0.9771304130554199,2,831.1167103866749
21.875,1.7793874740600586,2,24.95444522351804
22.5,1.8042404651641846,2,830.3153446332136
23.125,1.8281311988830566,2,817.0623536219664
23.75,1.8521056175231934,2,833.4242113202982
24.375,1.8766508102416992,2,820.8807098412738
25.0,1.9005999565124512,2,835.2970819071263
25.625,1.9246752262115479,2,825.212486084753
26.25,1.9485645294189453,2,832.2004657432594
26.875,1.9722094535827637,2,845.7790424611259
27.5,1.9966976642608643,2,820.2549827357011
28.125,2.0211658477783203,2,819.9272495395293
28.75,2.044915199279785,2,830.7309647867979
29.375,2.0698940753936768,2,819.7666730913277
30.0,2.0936005115509033,2,826.7914150891447
30.625,2.1176421642303467,2,841.4422421093528
31.25,2.1417834758758545,2,809.4380477219316
31.875,2.1660315990448,2,837.2025695440392
32.5,2.1908833980560303,2,815.1370626695419
33.125,2.2152843475341797,2,808.0708827737259
33.75,2.242483139038086,2,763.3859633082072
34.375,2.2668793201446533,2,777.220476162873
35.0,2.2912709712982178,2,839.7542341294229
35.625,2.315971612930298,2,807.3183407517265
36.25,2.340597629547119,2,815.0333886731124
36.875,2.365177869796753,2,811.5680915127085
37.5,2.3943681716918945,2,714.944510169652
38.125,2.420609951019287,2,718.4413328486729
